,text,type,dataset
609,@nytimes plz send medicine and food packets to nepal if possible. #NepalEarthquake #NepalQuakeRelief,0,Nepal Earthquake
610,#Scossa di #terremoto ad #Amatrice #magnitudo 3.9 #earthquake #italy https://t.co/dUnk1E7QwR,2,Italy Earthquake
611,Nepal earthquake: First baby born in field hospital named Lahore http://t.co/YKxcHFUtwM via @ibnlive,1,Nepal Earthquake
612,RT @snobers: Health workers take care of injured people outside hospital after an #earthquake caused serious damage in #Kathmandu http://t.…,0,Nepal Earthquake
613,"Gautam Buddh Nagar in UP records 136 fresh #COVID19 cases, tally rises to 1,946: Official data",2,Covid-19
614,"Additional NRS 200,000 collected today in relief fund.Hoping for more.Pls donate. #NepalEarthquake @sushilbaral http://t.co/RRXJGbPqlf",2,Nepal Earthquake
615,"NEW DELHI, APRIL 27: India will do everything possible to help Nepal, which was ravaged by a major earthquake on... http://t.co/tmTcXD43sw",2,Nepal Earthquake
616,RT @globalhlthtwit: Please RT. Nepal donation links. Action Aid http://t.co/ZDOrXLGs39 Oxfam http://t.co/EyRXqdSyIu UNICEF http://t.co/wiSQ…,2,Nepal Earthquake
617,"RT @hsbajwa73: Haryana govt to airlift 20,000 food packets tomorrow to Nepal#Hry  @Prabhuchawla   @Newindianxpress",1,Nepal Earthquake
618,"mb 4.6 NEW BRITAIN REGION, P.N.G. http://t.co/bPEUMs8mFw #Earthquake #Quake http://t.co/ozRXbKNFqA",2,Nepal Earthquake
619,Local Italians plan to honor earthquake victims at annual festival https://t.co/rVe5wTJwWp https://t.co/eGr06oaR0o,2,Italy Earthquake
620,"RT @karunajohn: RightWingers of ALL religions must keep away from Nepal. The survivors, do not need your bullshit. They need,food,water,med…",0,Nepal Earthquake
621,"#News Nepal earthquake death toll rises to 6,624 after a fresh 4.5-magnitude aftershock today http://t.co/bukrMIVfQW @FinancialXpress",2,Nepal Earthquake
622,"I've started raising money for "" Support Earthquake Victims in Nepal"" - Donate Now! http://t.co/b9WYqynrs4",2,Nepal Earthquake
623,"Nepal Earthquake: More Than 4,000 Dead After 7.8-Magnitude Quake Hits Near #Kathmandu, Officials Say
The U.S.... http://t.co/Wkt4pSb4a8",2,Nepal Earthquake
624,RT @ranjeetinsan15: #NepalDisasterReliefByMSG Saint Gurmeet Ram Singh ji insan Earthquake relief opreation in Nepal http://t.co/3yse3NUZrd,1,Nepal Earthquake
625,@akshaykumar sir thanks to earthquake effected nepali people... Really they have nothing now.. No medicine no water and no food @cheenaagha,0,Nepal Earthquake
626,I added a video to a @YouTube playlist http://t.co/ALFIGjqXDV Youth Should Come Out For Nepal Earthquake Relief: Youth For India,2,Nepal Earthquake
627,Nepal Earthquake: Several Cities Still Without Any Power Or Water: http://t.co/WjHouRdZ8Q via @YouTube,0,Nepal Earthquake
628,"BBC: Help has begun to reach remote regions of Nepal affected by Saturday's earthquake, but many remain in desperate need of food and water.",0,Nepal Earthquake
629,Amount of supplies may be used for more than 7 days. Mobile Hospital is equipped to even perform a surgery. #earthquake #Nepal #Kathmandu,1,Nepal Earthquake
630,"It's almost 100+ times hit by earthquake. No ekectricity, no internet connection, no water, everything has shortage, days are very pitiable.",0,Nepal Earthquake
631,Nepal earthquake: Google employee killed in Everest avalanche received inspiring letter before his expedition... http://t.co/WRL4RdTO9z,2,Nepal Earthquake
632,RT @techdroit: Injured tagged with (earthquake) stickers on head in a Bihar hospital..that's y they say there no limit of #idiocity and #st…,2,Nepal Earthquake
633,"RT @GlobalFundWomen: Nepal women's groups need funds for shelter, sanitation, food, pregnant &amp; lactating mothers. Give now: http://t.co/G9Z…",0,Nepal Earthquake
634,"CNN: Nepal earthquake homeless urgently need tents; death toll above 5,000 http://t.co/DjdzQ5pTeW",0,Nepal Earthquake
635,"RT @premx555: #Earthquake in #Nepal.
#Golden Temple to send 1 Lakh and #Delhi Gurudwaras to send
25 K meals daily.

""Hats off... http://t.c…",1,Nepal Earthquake
636,"@Swamy39 Earthquake in Nepal.
Golden Temple to send 1lac &amp; Delhi Gurdwaras-25k meals daily.
Those who share srdar jokes, pls share this too.",1,Nepal Earthquake
637,"Earthquake: 4 NDRF teams sent to Bihar and 1 NDRF team operation in UP, says Rajnath Singh http://t.co/fPxxgo8Tm2",2,Nepal Earthquake
638,"RT @rishirj38: Food &amp; other commodities for the Gujarat earthquake victims sent by DSS
#MSGHelpEarthquakeVictims http://t.co/9Auv0fHr52",2,Nepal Earthquake
639,21 contacts of a Sector 22 positive person have been home-quarantined. His five family members have been tested for the virus. #chandigarh #covid19,2,Covid-19
640,"RT @AnupKaphle: Has anyone seen these Nepali leaders? 

They've been missing since the earthquake, too. http://t.co/k5Ng7ZG2MW",2,Nepal Earthquake
641,@aajtak  mns is beating ppl of bihar n up they r insane nd hv no sense while the nation and state like bihar already in grief of earthquake,2,Nepal Earthquake
642,"RT PMOIndia: MoS Dr. Jitendra Singh, a doctor by profession has arranged to send free insulin to diabetes patients among the Earthquake vic…",1,Nepal Earthquake
643,"trying to catch bus to travel home town .
#insecurekathmandu 
#NepalEarthquake 
#earthquake",1,Nepal Earthquake
644,How #solar home lighting systems can be very helpful for #Nepal earthquake victims. We distributed abt 800 last week http://t.co/i5chNrhX6q,1,Nepal Earthquake
645,"Wow, town of Amatrice apparently buried. Near Rome https://t.co/YG2PsJPuDB",2,Italy Earthquake
646,ISBPL: #NEWS Relief Goods for Nepal Earthquake Victims Held Up at Customs: UN: Bureaucracy at Kathmandu airpor... http://t.co/hcgfMSMQls,2,Nepal Earthquake
647,"RT @ImZuhaibKhan: Pakistan Army is sending 2000 meals,200 tents,medicine,600 blankets n other necessary items 2 #Nepal #NepalEarthquake htt…",1,Nepal Earthquake
648,"Only 150 friends marked safe from Nepal earthquake on my Facebook,

God rest the souls of the remaining 1335!... http://t.co/68xgEur5ir",2,Nepal Earthquake
649,#Nepal earthquake has left millions of people needing urgent food and water  #donate  Give to Nepal Relief Fund -  http://t.co/p61KNiTp5x.,0,Nepal Earthquake
650,"RT @MusicForRelief: Nepal devastated by 7.8 quake . Help us provide immediate medical care, food, &amp; water: text MFR to 41444. http://t.co/9…",0,Nepal Earthquake
651,@UPGovt is doing great job by sending medical staffs to Nepal. Doctors are badly needed there. Good samritan @yadavakhilesh. #NepalQuake,0,Nepal Earthquake
652,RT @AnupKaphle: All Yeti Mountain Home lodges in remote #Nepal are open for earthquake victims and trekkers who need shelter. Share. http:/…,1,Nepal Earthquake
653,"Doctors say there is enough manpower but less beds, OPDs and medicines in the hospital #TraumaCenter #KTM #earthquake",0,Nepal Earthquake
654,"ISBPL: #NEWS Nepal earthquake: Woman miraculously rescued alive after 128 hours: Krishna Devi Khadka, 2... http://t.co/9cG5P7znKH #world",2,Nepal Earthquake
655,"Deadly quake in Italy, many people died. My condolences to the Italian people. Unfortunately, natural disasters are becoming a trivial thing",2,Italy Earthquake
656,RT @problogger: Current toll of #Nepal earthquake is over 3200. Support organisations like @WorldVisionAUS at http://t.co/P4JQKZseNP http:/…,2,Nepal Earthquake
657,I added a video to a @YouTube playlist http://t.co/GdTtyHLkJ4 New Video Neapal Earthquake injureds in hospital,2,Nepal Earthquake
658,"at bharatpur hospital ...really all the earthquake victims are well treated with food, clothes, mats, medicines, etc #Earthquake #Nepalquake",1,Nepal Earthquake
659,"Italy needs help! The earthquake left many people without home, hospitals need ambulances,… https://t.co/JGY7Hro511",0,Italy Earthquake
660,@BJPRajnathSingh @SushmaSwaraj Our medical team want 2 help quake victims in Nepal wth relief &amp; medicines.pls help with transport.,1,Nepal Earthquake
661,"Earthquake In the Region 
Latest One Is 7.1 In Papua New Guinea
which Might trigger a Powerful Tsunami :( :( :( http://t.co/obdSPOK5I6",2,Nepal Earthquake
662,"Join us June 29  Monday,Hear #DouglasRagan @practicalrad @unhabitatyouth @UnKenya speak on how technology has impacted students education especially in the light of pandemic #COVID19 \n@RiseUp4SDGs @EdChatEU @EdChatIND @nagrikfdn @Rotary @rtn_sandeep @Kapoor_Divya_ @Cbse_official https://t.co/ycMcFKW6Eh",2,Covid-19
663,"Operation Maitri (Rescue and Relief Work)
Communication Infrastructure was badly hit by the earthquake.... http://t.co/ZfbVJJvsML",2,Nepal Earthquake
664,"RT @nayanchandra: Breaking: Ind Army C130  taken off to Nepal with foods, water, NDRF team, Doctors.. Nurse @vaidehisachin @SachinKalbag @K…",1,Nepal Earthquake
665,"Avengers: Age Of Ultron collections affected in UP, Bihar on Saturday due to the earthquake http://t.co/KcgzkPEDlD",2,Nepal Earthquake
666,Red Cross asks Italians in earthquake disaster area to turn off Wi-Fi passwords  https://t.co/9fRHxWATtD,0,Italy Earthquake
667,"Haven't been #home in all of 2020, #COVID19 just keeps #families apart. Missing the #sweetest part of #India, #Kolkata. #FridayFeeling https://t.co/ueaFcFtlZf",2,Covid-19
668,Earthquake victims at @dhulikhel hospital please help with foods cloths shelther food bed blankets etc... http://t.co/aS78FaGLsj,1,Nepal Earthquake
669,"@thekiranbedi @realpreityzinta @rks_14 @narendramodi Give me protection for Nepal,Give For Food ,Water And Medician ,India Help for nepal.:)",0,Nepal Earthquake
670,"Israel has elite search, rescue teams, field hospital on standby. Why refuse manpower when minutes matter?
https://t.co/hNvNHSVLmL
@ItalyMFA",1,Italy Earthquake
671,@ndtv Why now they asking about it? What about when due to Congress government we lost a crucial part of Indian territory? Why now they are so concerned about all this? Making q new conspiracy. #COVID19 #CongChinaCash #Congress #whynow #IndiaDeservesToKnow,2,Covid-19
672,"BostonGlobe: Photos: The town of Amatrice, Italy, was hit hard by Wednesday’s earthquake https://t.co/75r1wfNOBm https://t.co/L3TGWZCVSg",2,Italy Earthquake
673,Earthquake Support Volunteers Need! contact:  questvolunteer@wlink.com.np http://t.co/vZVQDGfD2Y,0,Nepal Earthquake
674,@CaseyNeistat hope you are ok just heard their was a earthquake in Italy plz let us know you are safe.,2,Italy Earthquake
675,@Wix https://t.co/zAmmx9soiD - Italy earthquake death tool raise to 247,2,Italy Earthquake
676,Nepal earthquake: Food shortages in Nepal: http://t.co/fb426JD4E9 via @YouTube,0,Nepal Earthquake
677,India sends 'Rail Neer' water to quake-hit Nepal... http://t.co/e14zOrETYV,1,Nepal Earthquake
678,"Why was there a destructive earthquake in Italy last night? @daverothery, Prof. of Planetary Geosciences explains: https://t.co/FVHcvOoLhL",2,Italy Earthquake
679,"April 26, 2015 12:56 PM Afternoon Nepal Earthquake: https://t.co/MKkah5GlG4",2,Nepal Earthquake
680,"RT @madaan10: #MSGHelpEarthquakeVictims 
Saint @Gurmeetramrahim is doing help of people affected by earthquake In Nepal.",2,Nepal Earthquake
681,"Packages, containing #medicalsupplies like Tylenol &amp; aspirin, will help victims of the earthquake recover: https://t.co/qwKC61Cjfa",1,Italy Earthquake
682,Indian railway send one lakh of water bottle to Nepal it will reach today night. Bsnl and mtnl take only national charges from ind 2 nep,1,Nepal Earthquake
683,WATCH: IDF field hospital opens doors in earthquake-ravaged Nepal - Jerusalem Post Israel… http://t.co/PHVaPA4xF8,1,Nepal Earthquake
684,"I escape from nepal earthquake disaster
NO ONE HELP ME
If I would have died
NO ONE HAVE NOTICED
If I was wounded... http://t.co/qyzZoiQzjA",2,Nepal Earthquake
685,"RT @TurkishPolitics: The Turkish Red Crescent initially sent 1,000 blankets and hundreds of food packages to the earthquake region.",1,Nepal Earthquake
686,"We need helpers to raise fund to buy food and water for earthquake victims .. Join us help us :)
1help can save a... http://t.co/dZUCIOjQG7",0,Nepal Earthquake
687,"RT @aolnepal: Anybody interested in donating food, medicine, water and sanitation materials for earthquake victims, contact Art... http://t…",0,Nepal Earthquake
688,RT @anuragdhanda: 10 yrs back it was decided to retro fit PHQ and Delhi Secretariat so to be safe in case of earthquake. Work not yet start…,2,Nepal Earthquake
689,"ML 2.3 ISLAND OF HAWAII, HAWAII http://t.co/sm2nlssJlT #Earthquake #Quake http://t.co/IPiy4ag7x2",2,Nepal Earthquake
690,Earthquake? Or transmutation circle? https://t.co/Ozwmp4ezXe,2,Italy Earthquake
691,"MNS Chief Raj Thackeray will flag Truck for help to Nepal Earthquake Relief today,12 noon.",1,Nepal Earthquake
692,Water Scarcity at Valley !!! every hands wants at least one bottle drinking water !!! #earthquake #NepalQuake http://t.co/Mb2EP4kOY4,0,Nepal Earthquake
693,Earthquake survivors battle for helicopters near Nepal village that vanished http://t.co/JeURsyXfbx,0,Nepal Earthquake
694,Isn't it a bit early for the cute animal earthquake stories? https://t.co/2FwF8ET7zf,2,Italy Earthquake
695,@SaraNesti84 Hope and pray that you and your family not affected by central Italy earthquake,2,Italy Earthquake
696,RT @borgebrende: Important deployment of a field hospital from @rodekorsnorge - urgent need for health care in Nepal. Lives can be saved in…,0,Nepal Earthquake
697,Appeal for wi-fi connection in #earthquake areas in #Italy https://t.co/hdRIsdMPsl via @BBCNews,0,Italy Earthquake
698,"#SalmanVerdict Looks like media has no news after Gajender and Earthquake. Kejriwal is quiet, Modi is busy and Rahul is on road.",2,Nepal Earthquake
699,"A really interesting coverage on the costs of available drugs for #COVID19. Thanks @Milan_reports @sardesairajdeep. Remdesivir, Favipiravir, Ivermectin, Antibiotics, PALM strategy from TN @sandhyaravishan @icart_india. https://t.co/kLBKIe0KjL",2,Covid-19
700,@adgpi @BDUTT  Need more resources and personnel from Army for restoring Power / Bridges / Roads and to have substantial presence in Nepal,0,Nepal Earthquake
701,hotline number-1234 ... earthquake ko jankari ka lagi,2,Nepal Earthquake
702,"""She delivered a healthy baby. And there I was holding a new life, with death all around.""-Doc who operated, few hours after the earthquake.",2,Nepal Earthquake
703,"Coca-Cola, Dean Kamen: Donate Water Filtration System (Slingshot) to Nepal aftermath Earthquake... https://t.co/GBar2KpxJc via @Change4India",2,Nepal Earthquake
704,Dont know wat is happening around but really very hurt to see all d people who is suffering coz of #earthquake...lots of prayers fr u all,2,Nepal Earthquake
705,"Crist thought Rhys was jumping on my bed last night, but turns out was just a earthquake",2,Italy Earthquake
706,RT@NorwayMFA:#Norway allocates NOK 30m in initial response after #Nepal earthquake. Int society must step up - FM @borgebrende #NorwAid,2,Nepal Earthquake
707,"Praying for Italy. Devastating... Deadly earthquake rocks central Italy, Army mobilized in rescue https://t.co/10n1Upkq5Z via @nbcnews",1,Italy Earthquake
708,@DrRPNishank @ZeeNews @sudhirchaudhary Sir @DrRPNishank @DG_NTA @HRDMinistry Today only over 17000+ cases of #COVID19 Came and it will be nearly +6lakh at the end of July if it increases like that and still you are thinking of exams \n#parentsministermeeting \n#NoExamsInCovid \n#Wakeup_DrRPNishank_pospon_JEENeet,2,Covid-19
709,#DONATE @NepalRelieffund Relief Fund - need Food and Water for Earthquake Survivors http://t.co/p61KNiTp5x,0,Nepal Earthquake
710,#Nepal #death #toll reaches 7176 in earthquake http://t.co/dPGEnUs9Wm,2,Nepal Earthquake
711,Delhi Sikh Gurdwara body to send Langar (food) for Nepal’s earthquake hit people http://t.co/bhTu02wM1z,1,Nepal Earthquake
712,"Earthquake in Nepal.
Golden Temple to send 1 lac &amp; Delhi Gurdwaras to send 25 k meals daily.Those who share sardar jokes,    share this 2",1,Nepal Earthquake
713,"RT @cctvnews: A Chinese medical team stationed in #Nepal, will join earthquake rescue and relief work. #NepalEarthquake http://t.co/baJwp0V…",1,Nepal Earthquake
714,"Golden Temple to send 1 lac &amp; Delhi Gurdwaras to send 25k packets of meal daily to Nepal.Thanx
#Breaking #Delhi #Amritsar #News #Earthquake",1,Nepal Earthquake
715,"Security personnel distribute snacks to earthquake victims at Dashrath Stadium in Tripureshwor, Kathmandu on... http://t.co/XqfHoE2eXy",1,Nepal Earthquake
716,RT @NeverForget0911: Help us help #Nepal. NFF is sending responders for rescue &amp; recovery. We need your donation to help those affected. ht…,1,Nepal Earthquake
717,"@AlexButtner_28 Please help victims from  #Nepal_Earthquake_2015. Food, shelter, medicine and other needs are scarce. Help raise the funds.",0,Nepal Earthquake
718,"Please save thousands of survivals of Nepal Earthquake. They are foodless, shelter less, even they dont have... http://t.co/e5L8Z4p4BL",0,Nepal Earthquake
719,"a man is seen in front of a tent in a temporary shelter for the #earthquake victims in #Amitrice , #Italy . https://t.co/KCpsPbbMcb",1,Italy Earthquake
720,DJ Sudan Gurung (Voluteer at Trauma Center during Earthquake) https://t.co/yXBoQ1lR9s via @YouTube,2,Nepal Earthquake
721,6.2 earthquake devastated central Italy. Please donate to the Italian Red Cross to aid its search &amp; recovery effort https://t.co/Qwj65fV1b4,0,Italy Earthquake
722,"#Chaudhary #Group providing #Wai-Wai noodkes, other foods and #medical services to #earthquake disaster victims https://t.co/fMJqr9XnTH",1,Nepal Earthquake
723,"RT @Krittivasm: As #Nepal I&amp;B minister Rijal said 5,000 tents needed to house patients forced out of damaged hospital wards. https://t.co/v…",0,Nepal Earthquake
724,RT @BhuvithShetty: A 102-yr-old recalls the monster earthquake of 1934 http://t.co/wKXZWxhDnU #NepalQuake,2,Nepal Earthquake
725,"RT @RITURATHAUR: RT &amp; Spread
""@SushmaSwaraj: My colleague @PiyushGoyal has offered to send engineers and equipment to restore the power gri…",1,Nepal Earthquake
726,Red Cross requests Italians deactivate Wi-Fi router passwords to ease earthquake rescue efforts https://t.co/M853Ohmpz5,0,Italy Earthquake
727,Mt. Everest Avalanche Caught On Video After Massive Earthquake Hits Nepal http://t.co/9BoBEpvsi7,2,Nepal Earthquake
728,"You gotta RT this aplenty : @ibnlive: Gynaecologists, Pediatricians needed in earthquake-hit Nepal: IMA http://t.co/hA6iJaU1dz""",0,Nepal Earthquake
729,"shree sanjay sai sewa org nepal working for earthquake victims ,by providing food pakage for 1600 families tents... http://t.co/AuWADpr5kW",1,Nepal Earthquake
730,"Death toll from #Italyearthquake rises to 73, thousands homeless, army called in to move rubble https://t.co/9nPgmQqWHl",1,Italy Earthquake
731,"(NBC 5 Dallas Fort Worth) #Italy #Earthquake: Army Mobilized, Dozens Buried in Amatrice :.. https://t.co/LlyauJe2Pa https://t.co/AXsp8wc62s",1,Italy Earthquake
732,"#Earthquake Collection efforts taking place in #Florence today from 10am-10pm (asking for clothes, shoes, water) https://t.co/BVq2ADfSo4",1,Italy Earthquake
733,"RT @QRCS: Calling #Nepalese community in #Qatar to urge their families in #Nepal to donate blood, O+ type is mostly needed.
#NepalEarthquak…",0,Nepal Earthquake
734,RT @_dpaj: #itv Nepal earthquake: Survivors struggle for food and water amid chaotic recovery operation http://t.co/Kq62brvhKh,0,Nepal Earthquake
735,Indian power minster Mr. @PiyushGoyal has offered to send engineers and equipment to restore the power grids in Nepal #EarthquakeNepal,1,Nepal Earthquake
736,#Earthquake of 6.0 degrees in the center of Italy. Blood needed in the hospitals of Ascoli Piceno and Rieti. Hundreds still buried alive,0,Italy Earthquake
737,"If O+ve Blood is needed around Ilam, I am ready just mention. #EarthQuake #NepalEarthquake",1,Nepal Earthquake
738,@MEAIndia @MEAcontrolroom got in touch with General Anurag who will help sending medical aid across to Nepal.,1,Nepal Earthquake
739,@melissagorga AMEN♥ GOD BLESS ALL that were affected by the earthquake in Italy♥♥♥ xoxo #Italy #earthquake #PrayingForItaly ♥♥♥,2,Italy Earthquake
740,Earthquake resistant structures - how safe is your home?   (very informative article by @yoginisd ) http://t.co/BggTNyXbdV,2,Nepal Earthquake
741,"RT @earthquakesApp: [EMSC] M4.5 Apr-30 19:21:29 UTC, ASSAM - NAGALAND REGION, INDIA, Depth:80.0km, http://t.co/pfUguC4VcR #quake http://t.c…",2,Nepal Earthquake
742,we need volunteers / tents / and immediately food for the earthquake effected areas if you are interested to help... http://t.co/ikmkKBihOv,0,Nepal Earthquake
743,Omg DisasterPreparedness.Wat more disaster it could be when @ArvindKejriwal is DelhiCM @HateAAP Farziwal #earthquake https://t.co/3jBUjMszfu,2,Nepal Earthquake
744,"TimesOfIndia: If there is anything that earthquake hasn't changed in Basantpur Durbar Square, it's daily worship of living goddess Kumari.",2,Nepal Earthquake
745,The Union Health and Family Welfare Ministry has rushed 15 tonnes of medicines to Nepal today.,1,Nepal Earthquake
746,"@3D2B will be collecting items for #earthquake victims; blankets, coats, jackets, shoes, toys etc; info:https://t.co/btmVbYyllq #ioterremoto",1,Italy Earthquake
747,Our hearts and prayers go out to all those affected by the Nepal earthquake. It's disasters such as this that... http://t.co/XxJqqiqnww,2,Nepal Earthquake
748,RT @carterreynolds: That earthquake got me feeling like I was on a roller coaster 🎢 AGAIN! AGAIN! AGAIN!,2,Nepal Earthquake
749,"RT @Manmeet_kaurMK: Bangla Saheb Gurudwara, Delhi is sending 25,000 food packages daily for the 'Nepal' earthquake victims. #RealLions http…",1,Nepal Earthquake
750,@sureshpprabhu @BJPRajnathSingh any transportation options(trains etc.) made available for those who cross over from Nepal.,2,Nepal Earthquake
751,"#Earthquake in Italy: at #Amatrice town high damages, streets blocked and one bridge fell down. Mayor ask for help. https://t.co/TFOJ89HXaJ",0,Italy Earthquake
752,"Operation Maitri in full swing
PM @narendramodi : We will wipe Nepal's tears
Food,Medical Aid reaches Nepal http://t.co/YBocCZJ0H1",1,Nepal Earthquake
753,"Retweeted CNN International (@cnni):

The Red Cross is asking people in central Italy to turn off their wifi... https://t.co/hYhZpmQQxo",0,Italy Earthquake
754,"#BJP4  Haven\u2019t U  heard the latest buz Prevelent in today\u2019s country\u2019s politico public space?This is @VirtualMeeting\u2014a latest device of contacting party workers online. Certainly,  it is a much used&amp; a more costly device of campaigning  used by @BJP Leadership only during Covid19.",2,Covid-19
755,ShelterBox assessment team en route after 6.2 magnitude earthquake struck central Italy.,1,Italy Earthquake
756,"need #food,#water,#tent and #medicine for Nepal earthquake survivors.Give to Nepal Relief Fund -  http://t.co/p61KNiTp5x.",0,Nepal Earthquake
757,Italian victims asked to disable WiFi passwords| This is making it able for malicious people to access info.  https://t.co/ekRnC0kyDE,0,Italy Earthquake
758,"RT @harshitdalal1: #Earthquake in Nepal 🌍 

#Goldentemple to send 1 lakh &amp; #Delhi Gurudwaras to send 25 k langar meals daily",1,Nepal Earthquake
759,"PM Modi will launch self-reliant Uttar Pradesh employment campaign today, 1.25 crore people will get employment.\n\nVisit below link to get latest news.\nhttps://t.co/zDzWcGoApy\n\n#COVID19 #coronavirus #CoronavirusPandemic @PMOIndia @narendramodi @myogiadityanath @myogioffice @WHO",2,Covid-19
760,"""Amateur Radio Volunteers Assisting in Italian Earthquake Response"" https://t.co/KbyqaJGSq8 #amateurradio #feedly",1,Italy Earthquake
761,#Coronavirus State-Wise Updates:  Lockdown extension in #Jharkhand till July 31;  3460 new cases in Delhi #lockdownextension https://t.co/yyXmFWtZuU https://t.co/I7zBBQTsFj,2,Covid-19
762,@DrRPNishank @DG_NTA @PMOIndia @DDNewslive \n@iitdelhi @HRDMinistry \n#neet #jee #JeeNeetAfterNormalcy  #NoExamsInCovid #clarifyus #HealthOverExams #COVID19 https://t.co/DEoKtQqgTu,2,Covid-19
763,Let's put both brutal police and street rioters on a plane to Kathmandu to spend the next year supporting earthquake victims.,2,Nepal Earthquake
764,My @Quora answer to Is this true nepal is again under threat of earthquake ? link:http://t.co/MxWn2SX0xm… http://t.co/dAjgfMNpGV,2,Nepal Earthquake
765,"Earthquake Strains Nepal's Already Shaky, But Potentially Powerful, Electricity Sector: KATHMANDU, NEPAL — Rel... http://t.co/NQJBHg0fRs",1,Nepal Earthquake
766,"@trvivek Yes. our NGO pushed one force ambulance in action yesterday, it crossed Guj-Raj border today. will reach Nepal on 1st may..",1,Nepal Earthquake
767,#ItalyEarthquake: The Salvation Army Italy is making plans to respond to the 24 August quake https://t.co/W5OSr6Hloe https://t.co/ncDH5LjZqq,1,Italy Earthquake
768,"Italy Earthquake: Army Mobilized, 37 Killed: An earthquake hit central Italy early Wednesday, collapsing home... https://t.co/NpSIhiyrll",1,Italy Earthquake
769,Meanwhile #Twitter  \n\nPeople seem to be  forgetting about #COVID19  and not much interested \n\nLets put it separately \ud83d\ude02 https://t.co/Z0HYSwSdb5,2,Covid-19
770,"#COVID19, India well past 5 lakh(half million)cases with over 15,800 fatalities, world cases near 10 million with half a million fatalities, where all this will stop https://t.co/PsdcYZvkQN",2,Covid-19
771,https://t.co/msXzpfdEq1\nCovid19 update-Punjab\n#airnewsalerts\n#IndiaFightsCorona\n#StayHomeStaySafe,2,Covid-19
772,The deadly earthquake disaster in Central Italy has thrown a sober mood on sport; especially football in that... https://t.co/7Pk1LxcRlO,2,Italy Earthquake
773,"#Uttrakhand  regulated rates for #COVID19  tests. While govt hospitals deplaying pvt labs for test would be given Rs 2000 per test, the pvt labs collecting samples on their own will be able to charge Rs 2400 @TOIIndiaNews",2,Covid-19
774,stop your hegemony over our mourning and do not destroy what is left to us by terrific earthquake #GoHomeIndianMedia,2,Nepal Earthquake
775,"RT @NRaule: Mobile phones are not working, no electricity,  no water in #Thamel, #Nepal.
#earthquake #NepalEarthquake #NepalQuakeRelief",0,Nepal Earthquake
776,RT @AnupamkPandey: #SewaBharati Varanasi will be sending 'Relief Material' &amp; Medical Help. More Info awaited ... #Earthquake,1,Nepal Earthquake
777,#ArtofLiving #volunteers @vfapn distributing food &amp; settling all at centres turned into #relief centres. #Earthquake,1,Nepal Earthquake
778,#OrderofMalta activated a mobile unit assistance to aid those in #Amatrice #ItalyEarthquake https://t.co/7qLBk0oP1c https://t.co/CwRBw48hnL,1,Italy Earthquake
779,"@Eatala_Rajender #COVID19 \ud83c\uddee\ud83c\uddf3 Update (2/2)\n26/06 , 10pm:\nFew More States:\n\nHimachal: 25\nGoa: 44\nManipur: 18\nMizoram:2\nUttarakhand: 34\nJharkhand: 32\n\nTotal: 156\nC.T.: 18479",2,Covid-19
780,@MEAcontrolroom @SushmaSwaraj Indians stranded in Nepal's Sundhara relief camp need help. Without food or water. Please check TV news.,0,Nepal Earthquake
781,"Nepal earthquake: UN says 8 million affected - 1.4 million people are in need of food assistance, says UN http://t.co/6XX9LNhGEF",0,Nepal Earthquake
782,"#Delhi
Need #Blood Type :  A-positive
At : Max Saket 
Blood Component : Need Plasma A+ve/AB+ve from #COVID19 recovered patient.
Primary Number : 8448832647
Via: @nidhir77
#BloodMatters
Powered by Twitter https://t.co/KF7qZE5P2A",0,Covid-19
783,Willing to help us Nepal earthquake victims then contact me. I'm not asking for fund we need here tents and blankets 9851061866 #NepalQuake,0,Nepal Earthquake
784,"The overall effect of new policy, #COVID19 is yet to be clear on E commerce market which majorly consists of American players Jeff Bezos owned Amazon, and Walmart owned Flipkart. https://t.co/YnKRoW6GOA https://t.co/mOnL5E1Rur",2,Covid-19
785,Fantastic write up on Restaurant Industries after Covid19!!! Please read this. @pragyachaudhary https://t.co/CcrFZbY0Ok,2,Covid-19
786,Strong tremors #earthquake #Kolkata,2,Italy Earthquake
787,"RT @rachnaburman: @kundadixit @KanakManiDixit 3 IndianAirForce big birds landed in Nepal w/relief teams, anothr w/mobile hospital/35 docs t…",1,Nepal Earthquake
788,"Swift relief material reach,Call to Nepal Vl b charged as local call.250 Indians airlifted fr Khatmandu.Medical Team on d way.Govt tht works",1,Nepal Earthquake
789,"@SrBachchan @imsrk sir, plz 4ward this tweet; 2 rqt all helpful ppl to donate bloods in nearby hospitals. blood scarce in Nepal's hospitals.",0,Nepal Earthquake
790,"Relief goods for Nepal earthquake victims held up at customs, UN says

Nepal say's : We need grains, salt and sugar. http://t.co/whwzT21ugQ",0,Nepal Earthquake
791,LEDsafari team expresse its deepest sympathies for all victims of the earthquake #PrayingForItaly https://t.co/3C6PDB8zlu,2,Italy Earthquake
792,"COVID-19 has no exact treatment but still recovery rate is more than 50%, but recent studies show that recovered #COVID19 patients might develop health conditions after a few weeks/months of recovery. https://t.co/jufsK3ASiL",2,Covid-19
793,"M4.9  - 249km S of L'Esperance Rock, New Zealand https://t.co/bNMcR3AUov",2,Italy Earthquake
